"","Longitude","Time","Humidity","Temperature","Windspeed","Soundvalue","Lux","Distance","Latitude"
"1",7.575272," 7:20:23",89,7,0.59,102,9,6,51.974979
"2",7.575272," 7:20:28",88,6,0.4,133,10,5,51.974979
"3",7.575272," 7:20:28",89,6,0.4,133,10,6,51.974979
"4",7.575272," 7:20:33",88,7,0.3,144,9,4,51.974979
"5",7.575272," 7:20:33",89,6,0.3,144,9,6,51.974979
"6",7.575272," 7:20:38",89,7,0.2,118,9,3,51.974979
"7",7.575272," 7:20:38",88,6,0.2,118,9,6,51.974979
"8",7.575272," 7:20:43",89,6,0.4,198,9,2,51.974979
"9",7.575272," 7:20:43",88,7,0.4,198,9,6,51.974979
"10",7.575272," 7:20:48",89,6,0.69,185,10,1,51.974979
"11",7.575272," 7:20:48",89,7,0.69,185,10,6,51.974979
"12",7.575272," 7:20:53",88,6,0.4,197,10,9,51.974979
"13",7.575272," 7:20:53",89,6,0.4,197,10,6,51.974979
"14",7.575272," 7:20:58",88,7,0.3,112,9,8,51.974979
"15",7.575272," 7:20:58",89,6,0.3,112,9,6,51.974979
"16",7.575272," 7:21:3",89,7,0.2,128,10,11,51.974979
"17",7.575272," 7:21:3",88,6,0.2,128,10,6,51.974979
"18",7.575272," 7:21:8",89,6,0.11,115,10,6,51.974979
"19",7.575272," 7:21:8",88,7,0.11,115,10,8,51.974979
"20",7.575272," 7:21:13",89,6,0.4,202,10,6,51.974979
"21",7.575272," 7:21:13",88,6,0.4,202,10,11,51.974979
"22",7.575272," 7:21:18",89,7,0.3,199,10,6,51.974979
"23",7.575272," 7:21:18",88,6,0.3,199,10,20,51.974979
"24",7.575373," 11:24:6",45,2,-0.09,100,3331,7,51.975173
"25",7.575373," 11:24:11",45,2,-0.09,105,3334,0,51.975173
"26",7.575373," 11:24:11",46,2,-0.09,105,3334,1,51.975173
"27",7.575373," 11:24:16",45,2,-0.09,103,3331,0,51.975173
"28",7.575373," 11:24:16",46,2,-0.09,103,3331,0,51.975173
"29",7.575373," 11:24:21",45,2,0.01,95,3334,0,51.975173
"30",7.575373," 11:24:21",45,2,0.01,95,3334,10,51.975173
"31",7.575373," 11:24:26",46,2,0.11,101,3333,0,51.975173
"32",7.575373," 11:24:26",45,2,0.11,101,3333,0,51.975173
"33",7.575373," 11:24:31",46,2,0.2,97,3334,6,51.975173
"34",7.575373," 11:24:31",45,2,0.2,97,3334,20,51.975173
"35",7.575373," 11:24:36",45,2,-0.29,106,3337,0,51.975173
"36",7.575373," 11:24:36",46,2,-0.29,106,3337,0,51.975173
"37",7.575373," 11:24:41",45,2,-0.09,97,3338,8,51.975173
"38",7.575373," 11:24:41",46,2,-0.09,97,3338,0,51.975173
"39",7.575373," 11:24:46",45,2,0.01,99,3335,0,51.975173
