longitude,time,humidity,temperature,windspeed,soundvalue,distance,,latitude
0, 7:50:16,36,25,-0.09,109,16,4,0
0, 7:50:16,36,25,-0.09,109,16,5,0
0, 7:50:18,36,25,-0.09,106,15,4,0
0, 7:50:18,36,25,-0.09,106,15,0,0
0, 7:50:21,36,25,-0.09,106,19,4,0
0, 7:50:23,36,25,-0.09,190,19,5,0
0, 7:50:23,36,25,-0.09,190,19,0,0
0, 7:50:26,36,25,-0.19,107,15,5,0
0, 7:50:26,36,25,-0.19,107,15,0,0
0, 7:50:26,36,25,-0.19,216,16,5,51.975162
7.574996, 7:55:15,0,0,-0.29,133,29,0,51.975162
7.574996, 7:55:15,42,12,-0.29,133,29,0,51.97517
7.575023, 7:55:20,0,0,0.01,141,29,0,51.97517
7.575023, 7:55:20,43,12,0.01,141,29,0,51.975166
7.575038, 7:55:25,0,0,0.01,149,29,0,51.975166
7.575038, 7:55:25,43,12,0.01,149,29,0,51.975177
7.575078, 7:55:30,0,0,-0.09,144,30,0,51.975177
7.575078, 7:55:30,43,12,-0.09,144,30,0,51.97517
7.575183, 7:55:35,0,0,-0.19,144,29,0,51.97517
7.575183, 7:55:35,43,12,-0.19,144,29,0,51.975147
7.575252, 7:55:40,0,0,-0.19,144,29,0,51.975147
7.575252, 7:55:40,43,12,-0.19,144,29,0,51.975131
7.575305, 7:55:45,0,0,-0.19,144,29,0,51.975131
7.575305, 7:55:45,43,12,-0.19,144,29,0,51.975109
7.575335, 7:55:50,0,0,-0.09,142,30,0,51.975109
7.575335, 7:55:50,43,12,-0.09,142,30,0,51.975093
7.575347, 7:55:55,0,0,-0.09,144,30,0,51.975093
7.575347, 7:55:55,43,12,-0.09,144,30,0,51.975082
7.57536, 7:56:0,0,0,0.11,141,30,0,51.975082
7.57536, 7:56:0,43,12,0.11,141,30,0,51.97509
7.575308, 7:56:5,0,0,-0.19,142,29,0,51.97509
7.575308, 7:56:5,43,11,-0.19,142,29,0,51.975093
7.575252, 7:56:10,0,0,0.01,130,29,0,51.975093
7.575252, 7:56:10,43,11,0.01,130,29,0,51.975109
7.575177, 7:56:15,0,0,0.01,125,29,0,51.975109
7.575177, 7:56:15,42,11,0.01,125,29,0,51.975109
7.575098, 7:56:20,0,0,-0.19,117,29,0,51.975109
7.575098, 7:56:20,43,11,-0.19,117,29,0,51.975109
7.575129, 7:56:25,0,0,0.11,124,30,0,51.975109
7.575129, 7:56:25,43,11,0.11,124,30,0,51.975101
7.575218, 7:56:30,0,0,-0.09,125,30,0,51.975101
7.575218, 7:56:30,43,11,-0.09,125,30,0,51.975105
7.57528, 7:56:35,0,0,-0.19,120,29,0,51.975105
7.57528, 7:56:35,43,11,-0.19,120,29,0,51.975097
7.575308, 7:56:40,0,0,0.01,127,29,0,51.975097
7.575308, 7:56:40,43,11,0.01,127,29,0,51.975074
7.575382, 7:56:45,0,0,-0.09,119,30,0,51.975166
7.57563, 7:59:23,0,0,0.2,230,37,0,51.975166
7.57563, 7:59:23,44,10,0.2,230,37,0,51.975177
7.575623, 7:59:28,0,0,0.2,187,37,0,51.975177
7.575623, 7:59:28,44,10,0.2,187,37,0,51.975204
7.575653, 7:59:33,0,0,0.11,157,38,0,51.975204
7.575653, 7:59:33,44,10,0.11,157,38,0,51.975212
7.575675, 7:59:38,0,0,0.01,137,38,0,51.975212
7.575675, 7:59:38,45,10,0.01,137,38,0,51.975231
7.575618, 7:59:44,44,10,0.01,255,38,0,51.975257
7.575575, 7:59:47,0,0,-0.09,130,39,0,51.975257
7.575575, 7:59:47,44,10,-0.09,130,39,0,51.975273
7.575543, 7:59:52,0,0,-0.19,134,39,0,51.975273
7.575543, 7:59:52,44,10,-0.19,134,39,0,51.975261
7.57551, 7:59:57,0,0,-0.19,140,39,0,51.975261
7.57551, 7:59:57,44,10,-0.19,140,39,0,51.975273
7.575408, 8:0:2,0,0,-0.09,131,39,0,51.975273
7.575408, 8:0:2,44,10,-0.09,131,39,0,51.975276
7.575332, 8:0:7,0,0,-0.19,133,39,0,51.975276
7.575332, 8:0:7,44,10,-0.19,133,39,0,51.975288
7.575308, 8:0:12,0,0,0.01,132,39,0,51.975288
7.575308, 8:0:12,44,10,0.01,132,39,0,51.975261
7.575314, 8:0:17,0,0,-0.09,139,39,0,51.975261
7.575314, 8:0:17,44,10,-0.09,139,39,0,51.97525
7.575368, 8:0:22,0,0,-0.09,129,40,0,51.97525
7.575368, 8:0:22,44,10,-0.09,129,40,0,51.975219
7.575442, 8:0:27,0,0,0.01,130,39,0,51.975219
7.575442, 8:0:27,44,10,0.01,130,39,0,51.975177
7.575473, 8:0:32,0,0,-0.09,131,39,0,51.975177
7.575473, 8:0:32,44,10,-0.09,131,39,0,51.975185
7.575405, 8:0:37,0,0,-0.19,132,39,0,51.975185
7.575405, 8:0:37,44,10,-0.19,132,39,0,51.975177
7.575385, 8:0:42,0,0,-0.19,130,39,0,51.975177
7.575385, 8:0:42,44,10,-0.19,130,39,0,51.975177
7.575325, 8:0:47,0,0,-0.19,127,40,0,51.975177
7.575325, 8:0:47,44,10,-0.19,127,40,0,51.97517
7.575308, 8:0:52,0,0,-0.09,126,39,0,51.97517
7.575308, 8:0:52,44,10,-0.09,126,39,0,51.975177
7.575265, 8:0:57,44,10,-0.09,122,39,0,51.975177
7.575265, 8:0:57,44,10,-0.09,122,39,0,51.975196
7.575222, 8:1:2,0,0,-0.19,126,38,0,51.975196
7.575222, 8:1:2,44,10,-0.19,126,38,0,51.97525
7.575163, 8:1:7,44,10,-0.09,123,39,0,51.97525
7.575163, 8:1:7,44,10,-0.09,123,39,0,51.975246
7.575161, 8:1:12,0,0,0.01,129,38,0,51.975246
7.575161, 8:1:12,44,10,0.01,129,38,0,51.975257
7.575097, 8:1:17,44,10,-0.09,107,38,0,51.975257
7.575097, 8:1:17,44,10,-0.09,107,38,0,51.97525
7.575153, 8:1:22,0,0,-0.09,126,39,0,51.97525
7.575153, 8:1:22,44,10,-0.09,126,39,0,51.975234
7.575143, 8:1:27,0,0,-0.09,127,38,0,51.975234
7.575143, 8:1:27,44,10,-0.09,127,38,0,51.975193
7.575238, 8:1:32,0,0,-0.09,122,38,0,51.975193
7.575238, 8:1:32,44,10,-0.09,122,38,0,51.975162
7.575292, 8:1:37,0,0,-0.09,131,37,0,51.975162
7.575292, 8:1:37,44,10,-0.09,131,37,0,51.975147
7.575385, 8:1:42,0,0,0.4,132,37,0,51.975147
7.575385, 8:1:42,44,10,0.4,132,37,0,51.975154
7.575427, 8:1:47,0,0,0.01,128,37,0,51.975154
7.575427, 8:1:47,44,10,0.01,128,37,0,51.975193
7.5754, 8:1:52,0,0,0.11,131,38,0,51.975193
7.5754, 8:1:52,45,10,0.11,131,38,0,51.975193
7.575353, 8:1:57,0,0,-0.09,109,38,0,51.975193
7.575353, 8:1:57,45,10,-0.09,109,38,0,51.975208
7.57527, 8:2:2,0,0,-0.09,138,38,0,51.975208
