longitude,time,humidity,temperature,windspeed,soundvalue,lux,distance,latitude
0, 0:0:12,39,25,0.11,50,65535,44,0
0, 0:0:12,39,25,0.11,50,65535,44,0
0, 0:0:12,39,25,0.11,50,65535,43,0
0, 0:0:14,39,25,0.3,50,65535,45,0
0, 0:0:14,39,25,0.3,50,65535,45,0
0, 0:0:14,39,25,0.3,50,65535,45,0
0, 0:0:16,39,25,0.3,48,65535,43,0
0, 0:0:16,39,25,0.3,48,65535,44,0
0, 0:0:16,39,25,0.3,48,65535,44,0
0, 0:0:18,39,25,0.2,236,65535,44,0
0, 0:0:18,38,25,0.2,236,65535,44,0
0, 0:0:18,38,25,0.2,236,65535,44,0
0, 0:0:20,38,25,0.2,50,65535,44,0
0, 0:0:20,38,0,0.2,50,65535,43,0
0, 0:0:20,0,0,0.2,50,65535,43,0
0, 0:0:22,0,0,0.3,50,65535,44,0
0, 0:0:22,0,0,0.3,50,65535,44,0
0, 0:0:22,0,0,0.3,50,65535,43,0
0, 0:0:24,0,0,0.4,85,65535,43,0
0, 0:0:24,0,0,0.4,85,65535,44,0
0, 0:0:24,0,0,0.4,85,65535,43,0
0, 0:0:26,0,0,0.2,49,65535,43,0
0, 0:0:26,0,25,0.2,49,65535,44,0
0, 0:0:26,39,25,0.2,49,65535,43,0
0, 0:0:28,39,25,0.2,137,65535,44,0
0, 0:0:28,39,25,0.2,137,65535,44,0
0, 0:0:28,38,25,0.2,137,65535,43,0
0, 0:0:30,38,25,0.01,325,65535,43,0
0, 0:0:30,38,25,0.01,325,65535,44,0
0, 0:0:30,38,25,0.01,325,65535,44,0
0, 0:0:32,38,25,0.2,50,65535,44,0
0, 0:0:32,38,25,0.2,50,65535,44,0
0, 0:0:32,38,25,0.2,50,65535,45,0
0, 0:0:34,39,25,0.4,207,65535,45,0
0, 0:0:34,39,25,0.4,207,65535,46,0
0, 0:0:34,39,25,0.4,207,65535,45,0
0, 0:0:36,39,25,0.2,325,65535,44,0
0, 0:0:36,39,25,0.2,325,65535,43,0
0, 0:0:39,39,25,0.2,194,65535,45,0
0, 0:0:39,39,25,0.2,194,65535,45,0
0, 0:0:39,39,25,0.2,194,65535,43,0
0, 0:0:41,39,25,0.4,206,65535,44,0
0, 0:0:41,39,25,0.4,206,65535,44,0
0, 0:0:41,39,25,0.4,206,65535,5,0
0, 0:0:43,38,25,0.11,48,65535,3,0
0, 0:0:43,38,25,0.11,48,65535,0,0
0, 0:0:43,39,25,0.11,48,65535,77,0
0, 0:0:46,39,25,91.51,198,65535,79,0
0, 0:0:46,39,25,91.51,198,65535,82,0
0, 0:0:46,39,26,91.51,198,65535,81,0
0, 0:0:48,38,26,91.41,190,65535,4,0
0, 0:0:48,38,26,91.41,190,65535,0,0
0, 0:0:48,38,25,91.41,190,65535,114,0
0, 0:0:51,38,25,88.29,202,65535,117,0
0, 0:0:51,38,25,88.29,202,65535,74,0
0, 0:0:51,38,26,88.29,202,65535,117,0
0, 0:0:53,38,26,90.54,49,65535,118,0
0, 0:0:53,38,26,90.54,49,65535,60,0
0, 0:0:53,38,26,90.54,49,65535,64,0
0, 0:0:55,38,25,91.41,50,65535,119,0
0, 0:0:55,38,25,91.41,50,65535,120,0
0, 0:0:55,38,25,91.41,50,65535,121,0
0, 0:0:57,38,26,90.24,275,65535,126,0
0, 0:0:57,38,26,90.24,275,65535,125,0
0, 0:0:57,38,26,90.24,275,65535,128,0
0, 0:0:59,38,25,90.63,51,65535,119,0
0, 0:0:59,38,25,90.63,51,65535,119,0
0, 0:0:59,38,25,90.63,51,65535,120,0
0, 0:1:1,38,25,90.93,51,65535,124,0
0, 0:1:1,38,25,90.93,51,65535,124,0
0, 0:1:1,38,25,90.93,51,65535,126,0
0, 0:1:3,38,25,90.73,216,65535,126,0
0, 0:1:3,38,25,90.73,216,65535,121,0
0, 0:1:3,38,25,90.73,216,65535,120,0
0, 0:1:5,38,25,90.73,172,65535,119,0
0, 0:1:5,37,25,90.73,172,65535,118,0
0, 0:1:5,37,25,90.73,172,65535,118,0
0, 0:1:7,37,25,90.63,52,65535,118,0
0, 0:1:7,38,25,90.63,52,65535,121,0
0, 0:1:7,38,25,90.63,52,65535,120,0
0, 0:1:9,38,25,90.73,447,65535,120,0
0, 0:1:9,38,25,90.73,447,65535,132,0
0, 0:1:9,38,25,90.73,447,65535,120,0
0, 0:1:11,38,25,90.83,352,65535,118,0
0, 0:1:11,38,25,90.83,352,65535,118,0
0, 0:1:11,38,25,90.83,352,65535,118,0
0, 0:1:13,38,25,90.83,250,65535,119,0
0, 0:1:13,38,0,90.83,250,65535,125,0
0, 0:1:13,0,0,90.83,250,65535,121,0
0, 0:1:15,0,0,90.93,53,65535,132,0
0, 0:1:15,0,0,90.93,53,65535,127,0
0, 0:1:15,0,0,90.93,53,65535,127,0
0, 0:1:17,0,0,90.73,53,65535,125,0
0, 0:1:17,0,24,90.73,53,65535,126,0
0, 0:1:17,38,24,90.73,53,65535,126,0
0, 0:1:19,38,24,90.93,345,65535,127,0
0, 0:1:19,38,24,90.93,345,65535,126,0
0, 0:1:19,39,24,90.93,345,65535,127,0
0, 0:1:21,39,24,90.73,197,65535,128,0
0, 0:1:21,39,24,90.73,197,65535,132,0
0, 0:1:21,38,23,90.73,197,65535,120,0
0, 0:1:23,38,23,90.54,54,65535,120,0
0, 0:1:23,38,23,90.54,54,65535,133,0
0, 0:1:23,38,23,90.54,54,65535,118,0
0, 0:1:25,39,23,90.54,289,65535,119,0
0, 0:1:25,39,23,90.54,289,65535,119,0
0, 0:1:25,39,23,90.54,289,65535,118,0
0, 0:1:27,39,23,90.44,54,65535,133,0
0, 0:1:27,39,23,90.44,54,65535,119,0
0, 0:1:27,39,23,90.44,54,65535,119,0
0, 0:1:29,38,23,90.54,54,65535,118,0
0, 0:1:29,38,23,90.54,54,65535,132,0
0, 0:1:29,38,23,90.54,54,65535,118,0
0, 0:1:31,38,23,90.54,413,65535,129,0
0, 0:1:31,38,23,90.54,413,65535,132,0
0, 0:1:31,38,23,90.54,413,65535,119,0
0, 0:1:33,38,23,90.73,252,65535,120,0
0, 0:1:33,39,23,90.73,252,65535,120,0
0, 0:1:33,39,23,90.73,252,65535,118,0
0, 0:1:35,39,23,90.44,55,65535,127,0
0, 0:1:35,38,23,90.44,55,65535,132,0
0, 0:1:35,38,23,90.44,55,65535,132,0
0, 0:1:36,38,23,90.44,55,65535,132,0
0, 0:1:37,38,22,90.44,55,65535,127,0
0, 0:1:38,39,22,90.54,55,65535,132,0
0, 0:1:38,39,22,90.54,55,65535,128,0
0, 0:1:38,39,22,90.54,55,65535,127,0
0, 0:1:40,39,22,89.95,364,65535,132,0
0, 0:1:40,39,22,89.95,364,65535,125,0
0, 0:1:40,39,22,89.95,364,65535,132,0
0, 0:1:42,39,22,90.63,263,65535,120,0
0, 0:1:42,39,22,90.63,263,65535,134,0
0, 0:1:42,39,22,90.63,263,65535,132,0
0, 0:1:44,39,22,90.44,56,65535,127,0
0, 0:1:44,39,22,90.44,56,65535,126,0
0, 0:1:44,39,22,90.44,56,65535,134,0
0, 0:1:46,39,22,90.54,303,65535,131,0
0, 0:1:46,39,22,90.54,303,65535,125,0
0, 0:1:46,39,22,90.54,303,65535,118,0
0, 0:1:48,39,22,90.63,56,65535,118,0
0, 0:1:48,39,22,90.63,56,65535,124,0
0, 0:1:48,39,22,90.63,56,65535,118,0
0, 0:1:50,39,22,90.73,56,65535,118,0
0, 0:1:50,39,0,90.73,56,65535,120,0
0, 0:1:50,2,0,90.73,56,65535,119,0
0, 0:1:52,2,0,90.73,57,65535,119,0
0, 0:1:52,2,0,90.73,57,65535,120,0
0, 0:1:52,2,0,90.73,57,65535,119,0
0, 0:1:54,2,0,90.93,58,65535,118,0
0, 0:1:54,2,21,90.93,58,65535,119,0
0, 0:1:54,39,21,90.93,58,65535,120,0
0, 0:1:56,39,21,90.73,282,65535,125,0
0, 0:1:56,39,21,90.73,282,65535,124,0
0, 0:1:56,39,21,90.73,282,65535,126,0
0, 0:1:58,39,21,90.63,234,65535,119,0
0, 0:1:58,39,21,90.63,234,65535,125,0
0, 0:1:58,38,21,90.63,234,65535,124,0
0, 0:2:0,38,21,90.44,58,65535,119,0
0, 0:2:0,38,21,90.44,58,65535,120,0
0, 0:2:0,38,21,90.44,58,65535,120,0
0, 0:2:2,39,21,90.63,59,65535,125,0
0, 0:2:2,39,21,90.63,59,65535,125,0
0, 0:2:2,39,21,90.63,59,65535,121,0
0, 0:2:4,39,21,90.24,306,65535,120,0
0, 0:2:4,39,21,90.24,306,65535,120,0
0, 0:2:4,39,21,90.24,306,65535,119,0
0, 0:2:6,39,20,90.44,193,65535,118,0
0, 0:2:6,40,20,90.44,193,65535,118,0
0, 0:2:6,40,20,90.44,193,65535,118,0
0, 0:2:8,40,21,90.54,59,65535,119,0
0, 0:2:8,39,21,90.54,59,65535,118,0
0, 0:2:8,39,21,90.54,59,65535,119,0
0, 0:2:10,39,21,90.05,291,65535,119,0
0, 0:2:10,40,20,90.05,291,65535,118,0
0, 0:2:10,40,20,90.05,291,65535,119,0
0, 0:2:12,40,20,90.24,337,65535,126,0
0, 0:2:12,40,20,90.24,337,65535,123,0
0, 0:2:12,40,20,90.24,337,65535,126,0
0, 0:2:14,40,20,90.44,60,65535,120,0
0, 0:2:14,40,0,90.44,60,65535,124,0
0, 0:2:14,3,0,90.44,60,65535,125,0
0, 0:2:16,3,0,90.44,256,65535,124,0
0, 0:2:16,3,0,90.44,256,65535,126,0
0, 0:2:16,0,0,90.44,256,65535,126,0
0, 0:2:18,0,0,90.24,300,65535,125,0
0, 0:2:18,0,0,90.24,300,65535,125,0
0, 0:2:18,40,20,90.24,300,65535,119,0
0, 0:2:20,40,20,90.54,60,65535,126,0
0, 0:2:20,40,20,90.54,60,65535,124,0
0, 0:2:20,39,20,90.54,60,65535,124,0
0, 0:2:22,39,20,90.54,61,65535,122,0
0, 0:2:22,39,20,90.54,61,65535,123,0
0, 0:2:22,39,20,90.54,61,65535,119,0
0, 0:2:24,40,20,90.73,62,65535,128,0
0, 0:2:24,40,20,90.73,62,65535,124,0
0, 0:2:24,40,19,90.73,62,65535,124,0
0, 0:2:26,40,19,90.34,62,65535,119,0
0, 0:2:26,40,19,90.34,62,65535,120,0
0, 0:2:26,40,19,90.34,62,65535,132,0
0, 0:2:28,40,19,90.14,282,65535,132,0
0, 0:2:28,40,19,90.14,282,65535,132,0
0, 0:2:28,40,19,90.14,282,65535,132,0
