longitude,time,humidity,temperature,windspeed,soundvalue,lux,distance,latitude
7.57546, 4:16:7,78,6,0.98,162,1,0,51.97504
7.575463, 4:16:12,0,0,0.5,96,1,0,51.97504
7.575463, 4:16:12,78,6,0.5,96,1,0,51.975036
7.575483, 4:16:17,0,0,0.3,105,1,0,51.975036
7.575483, 4:16:17,78,6,0.3,105,1,0,51.975036
7.575463, 4:16:22,0,0,0.3,170,1,0,51.975036
7.575463, 4:16:22,78,6,0.3,170,1,0,51.975036
7.575479, 4:16:27,0,0,0.11,184,1,0,51.975036
7.575479, 4:16:27,78,6,0.11,184,1,0,51.975036
7.575479, 4:16:32,0,0,-0.09,131,1,0,51.975036
7.575479, 4:16:32,78,6,-0.09,131,1,0,51.975036
7.575479, 4:16:37,0,0,0.11,112,1,0,51.975036
7.575479, 4:16:37,78,6,0.11,112,1,0,51.975036
7.575479, 4:16:42,0,0,0.01,180,1,0,51.975036
7.575479, 4:16:42,78,6,0.01,180,1,0,51.975036
7.575479, 4:16:47,0,0,0.11,136,1,0,51.975036
7.575479, 4:16:47,78,6,0.11,136,1,0,51.975036
7.575479, 4:16:52,0,0,-0.09,115,1,0,51.975036
7.575479, 4:16:52,78,6,-0.09,115,1,0,51.975002
7.575595, 4:16:57,0,0,-0.09,179,1,0,51.975002
7.575595, 4:16:57,78,6,-0.09,179,1,0,51.975002
7.575595, 4:17:2,0,0,-0.09,156,1,0,51.975002
7.575595, 4:17:2,78,6,-0.09,156,1,0,51.975002
7.575595, 4:17:7,0,0,-0.09,156,1,0,51.975002
7.575595, 4:17:7,78,6,-0.09,156,1,0,51.975028
7.57547, 4:17:12,0,0,-0.19,114,1,0,51.975028
7.57547, 4:17:12,78,6,-0.19,114,1,0,51.975048
7.575395, 4:17:17,0,0,0.11,115,1,0,51.975048
7.575395, 4:17:17,78,6,0.11,115,1,0,51.975051
7.575383, 4:17:22,0,0,-0.38,108,1,0,51.975051
7.575383, 4:17:22,78,6,-0.38,108,1,0,51.975051
7.575383, 4:17:27,0,0,0.3,108,1,0,51.975051
7.575383, 4:17:27,78,6,0.3,108,1,0,51.975051
7.575383, 4:17:32,0,0,0.2,124,1,0,51.975051
7.575383, 4:17:32,78,6,0.2,124,1,0,51.975051
7.575383, 4:17:37,0,0,0.2,174,1,0,51.975051
7.575383, 4:17:37,78,6,0.2,174,1,0,51.975051
7.575445, 4:17:42,0,0,0.4,92,1,0,51.975051
7.575445, 4:17:42,78,6,0.4,92,1,0,51.975051
7.575442, 4:17:47,0,0,0.11,172,1,0,51.975051
7.575442, 4:17:47,78,6,0.11,172,1,0,51.975051
7.575442, 4:17:52,0,0,0.11,132,1,0,51.975051
7.575442, 4:17:52,78,6,0.11,132,1,0,51.975051
7.575442, 4:17:57,0,0,0.2,180,1,0,51.975051
7.575442, 4:17:57,78,6,0.2,180,1,0,51.975051
7.575442, 4:18:2,0,0,0.01,131,1,0,51.975051
7.575442, 4:18:2,78,6,0.01,131,1,0,51.975051
7.575442, 4:18:7,0,0,0.11,162,1,0,51.975051
7.575442, 4:18:7,78,6,0.11,162,1,0,51.975051
7.575442, 4:18:12,0,0,0.89,111,1,0,51.975051
7.575442, 4:18:12,78,6,0.89,111,1,0,51.975051
7.575442, 4:18:17,0,0,0.4,208,1,0,51.975051
7.575442, 4:18:17,78,6,0.4,208,1,0,51.975051
7.575442, 4:18:22,0,0,0.2,158,1,0,51.975051
7.575442, 4:18:22,78,6,0.2,158,1,0,51.975051
7.575442, 4:18:27,0,0,0.4,87,1,0,51.975051
7.575442, 4:18:27,78,6,0.4,87,1,0,51.975051
7.575442, 4:18:32,0,0,0.3,158,1,0,51.975051
7.575442, 4:18:32,0,0,0.3,158,1,0,51.975051
7.575442, 4:18:37,0,0,-0.19,257,1,0,51.975051
7.575442, 4:18:37,78,6,-0.19,257,1,0,51.975051
7.575442, 4:18:42,0,0,-0.19,204,1,0,51.975051
7.575442, 4:18:42,0,0,-0.19,204,1,0,51.975051
7.575442, 4:18:47,0,0,1.28,129,1,0,51.975051
7.575442, 4:18:47,78,6,1.28,129,1,0,51.975051
7.575442, 4:18:52,0,0,0.89,155,1,0,51.975051
7.575442, 4:18:52,78,6,0.89,155,1,0,51.975051
7.575442, 4:18:57,0,0,0.59,123,1,0,51.975051
7.575442, 4:18:57,78,6,0.59,123,1,0,51.975051
7.575442, 4:19:2,0,0,0.89,120,1,0,51.975051
7.575442, 4:19:2,78,6,0.89,120,1,0,51.975051
7.575442, 4:19:7,0,0,0.69,135,1,0,51.975051
7.575442, 4:19:7,78,6,0.69,135,1,0,51.975051
7.575442, 4:19:12,0,0,0.4,140,1,0,51.975051
7.575442, 4:19:12,78,6,0.4,140,1,0,51.975051
7.575442, 4:19:17,0,0,0.3,157,1,0,51.975051
7.575442, 4:19:17,78,6,0.3,157,1,0,51.975051
7.575442, 4:19:22,0,0,0.3,76,1,0,51.975051
7.575442, 4:19:22,78,6,0.3,76,1,0,51.975051
7.575442, 4:19:27,0,0,0.4,107,1,0,51.975051
7.575442, 4:19:27,78,6,0.4,107,1,0,51.975051
7.575442, 4:19:32,0,0,0.4,111,1,0,51.975051
7.575442, 4:19:32,78,6,0.4,111,1,0,51.975051
7.575442, 4:19:37,0,0,0.3,205,1,0,51.975051
7.575442, 4:19:37,78,6,0.3,205,1,0,51.975051
7.575442, 4:19:42,0,0,0.5,199,1,0,51.975051
7.575442, 4:19:42,78,6,0.5,199,1,0,51.975051
7.575442, 4:19:47,0,0,0.3,186,1,0,51.975051
7.575442, 4:19:47,78,6,0.3,186,1,0,51.975051
7.575442, 4:19:52,0,0,0.5,199,1,0,51.975051
7.575442, 4:19:52,78,6,0.5,199,1,0,51.975051
7.575442, 4:19:57,0,0,0.2,113,1,0,51.975051
7.575442, 4:19:57,78,6,0.2,113,1,0,51.975051
7.575442, 4:20:2,0,0,0.4,165,1,0,51.975051
7.575442, 4:20:2,78,6,0.4,165,1,0,51.975051
7.575442, 4:20:7,0,0,0.4,201,1,0,51.975051
7.575442, 4:20:7,78,6,0.4,201,1,0,51.975051
7.575442, 4:20:12,0,0,0.59,126,1,0,51.975051
7.575442, 4:20:12,78,6,0.59,126,1,0,51.975051
7.575442, 4:20:17,0,0,0.89,125,1,0,51.975051
7.575442, 4:20:17,78,6,0.89,125,1,0,51.975013
7.575492, 4:20:22,0,0,0.3,91,1,0,51.975013
7.575492, 4:20:22,78,6,0.3,91,1,0,51.975013
7.575503, 4:20:27,0,0,0.2,225,1,0,51.975013
7.575503, 4:20:27,78,6,0.2,225,1,0,51.975017
7.575495, 4:20:32,0,0,0.4,114,1,0,51.975017
7.575495, 4:20:32,78,6,0.4,114,1,0,51.975017
7.575495, 4:20:37,0,0,0.5,69,1,0,51.975017
7.575495, 4:20:37,78,6,0.5,69,1,0,51.975017
7.575495, 4:20:42,0,0,0.59,111,1,0,51.975017
7.575495, 4:20:42,78,6,0.59,111,1,0,51.975017
7.575495, 4:20:47,0,0,0.79,176,1,0,51.975017
7.575495, 4:20:47,78,6,0.79,176,1,0,51.975017
7.575495, 4:20:52,0,0,0.4,124,1,0,51.975017
7.575495, 4:20:52,78,6,0.4,124,1,0,51.975017
7.575495, 4:20:57,0,0,0.3,188,1,0,51.975017
7.575495, 4:20:57,78,6,0.3,188,1,0,51.975017
7.575495, 4:21:2,0,0,0.3,157,1,0,51.975017
7.575495, 4:21:2,78,6,0.3,157,1,0,51.975017
7.575495, 4:21:7,0,0,0.5,153,1,0,51.975017
7.575495, 4:21:7,78,6,0.5,153,1,0,51.975017
7.575495, 4:21:12,0,0,0.89,111,1,0,51.975017
7.575495, 4:21:12,78,6,0.89,111,1,0,51.975017
7.575537, 4:21:17,0,0,0.5,111,1,0,51.975017
