longitude,time,humidity,temperature,windspeed,soundvalue,lux,distance,latitude
0, 23:59:48,86,7,-0.09,206,65471,0,0
0, 23:59:48,86,5,-0.09,206,65471,0,0
0, 23:59:48,86,5,-0.09,206,65471,0,0
0, 23:59:54,86,5,-0.48,203,65471,0,0
0, 23:59:54,86,5,-0.48,203,65471,0,0
0, 23:59:54,86,5,-0.48,203,65471,0,0
0, 0:0:0,83,11,-0.09,180,65471,0,0
0, 0:0:0,83,11,-0.09,180,65471,0,0
0, 0:0:4,86,5,0.01,171,65471,0,0
0, 0:0:4,86,5,0.01,171,65471,0,0
0, 4:43:5,0,0,-0.19,166,65471,0,0
0, 4:43:5,2,8,-0.19,166,65471,0,0
0, 4:43:9,84,7,-0.09,163,65471,0,0
0, 4:43:9,83,7,-0.09,163,65471,0,0
0, 4:43:13,0,0,0.11,159,65471,0,0
0, 4:43:13,2,4,0.11,159,65471,0,51.97509
7.575115, 4:43:17,85,4,-0.09,157,65471,0,51.97509
7.575115, 4:43:17,85,3,-0.09,157,65471,0,51.975048
7.575175, 4:43:22,0,0,-0.38,152,65471,0,51.975048
7.575175, 4:43:22,85,3,-0.38,152,65471,0,51.974994
7.575228, 4:43:27,0,0,0.11,152,65471,0,51.974994
7.575228, 4:43:27,85,3,0.11,152,65471,0,51.974971
7.575245, 4:43:32,0,0,-0.19,148,65471,0,51.974971
7.575245, 4:43:32,85,3,-0.19,148,65471,0,51.974956
7.575247, 4:43:37,0,0,-0.09,148,65471,0,51.974956
7.575247, 4:43:37,86,2,-0.09,148,65471,0,51.974967
7.575201, 4:43:42,0,0,-0.29,147,65471,0,51.974971
7.57519, 4:43:45,0,0,-0.48,144,65471,0,51.974975
7.575193, 4:43:48,0,0,-0.29,144,65471,0,51.974975
7.575193, 4:43:48,84,3,-0.29,144,65471,0,51.974971
7.57528, 4:43:53,0,0,0.01,146,65471,0,51.974971
7.57528, 4:43:53,85,1,0.01,146,65471,0,51.975017
7.575237, 4:44:18,0,0,-0.38,135,65471,0,51.975017
7.575237, 4:44:18,85,1,-0.38,135,65471,0,51.975135
7.575002, 4:44:25,85,1,-0.19,143,65471,0,51.975158
7.574922, 4:44:28,0,0,-0.09,145,65471,0,51.975158
7.574922, 4:44:28,85,1,-0.09,145,65471,0,51.975215
7.57479, 4:44:33,0,0,-0.09,147,65471,0,51.975215
7.57479, 4:44:33,85,1,-0.09,147,65471,0,51.975246
7.574755, 4:44:38,0,0,-0.09,145,65471,0,51.975246
7.574755, 4:44:38,85,1,-0.09,145,65471,0,51.975273
7.574673, 4:44:43,0,0,-0.19,144,65471,0,51.975273
7.574673, 4:44:43,85,1,-0.19,144,65471,0,51.97525
