longitude,time,humidity,temperature,windspeed,soundvalue,lux,distance,latitude
0, 23:59:49,94,25,0.5,108,63407,0,0
0, 23:59:49,94,0,0.5,108,63407,0,0
0, 15:38:17,0,0,0.3,117,63407,0,0
0, 15:38:17,1,13,0.3,117,63407,0,0
0, 15:38:21,74,15,0.5,121,63407,0,0
0, 15:38:21,73,15,0.5,121,63407,0,0
0, 15:38:25,73,15,0.4,122,63407,0,0
0, 15:38:25,73,15,0.4,122,63407,0,0
0, 15:38:29,72,14,0.3,124,63407,0,0
0, 15:38:29,73,14,0.3,124,63407,0,0
0, 15:38:33,0,0,0.3,121,63407,0,0
0, 15:38:33,0,21,0.3,121,63407,0,0
0, 15:38:37,95,13,0.2,122,63407,0,0
0, 15:38:37,73,13,0.2,122,63407,0,0
0, 15:38:41,0,0,0.5,122,63407,0,0
0, 15:38:41,0,14,0.5,122,63407,0,0
0, 15:38:45,73,18,0.3,123,63407,0,0
0, 15:38:45,71,18,0.3,123,63407,0,0
0, 15:38:49,71,18,0.01,115,63407,0,0
0, 15:38:49,71,12,0.01,115,63407,0,0
0, 15:38:53,75,15,0.11,134,63407,0,0
0, 15:38:53,72,15,0.11,134,63407,0,0
0, 15:38:57,73,14,0.3,119,63407,0,0
0, 15:38:57,73,16,0.3,119,63407,0,0
0, 15:39:1,73,15,0.3,125,63407,0,0
0, 15:39:1,72,15,0.3,125,63407,0,0
0, 15:39:5,73,14,0.59,127,63407,0,0
0, 15:39:5,73,15,0.59,127,63407,0,0
0, 15:39:9,72,0,0.4,128,63407,0,0
0, 15:39:9,73,14,0.4,128,63407,0,0
0, 15:39:13,80,15,0.3,123,63407,0,0
0, 15:39:13,80,14,0.3,123,63407,0,0
0, 15:39:17,73,15,0.01,139,63407,0,0
0, 15:39:17,72,15,0.01,139,63407,0,0
0, 15:39:21,72,15,0.4,128,63407,0,0
0, 15:39:21,72,14,0.4,128,63407,0,0
0, 15:39:25,73,15,0.59,131,63407,0,0
0, 15:39:25,72,15,0.59,131,63407,0,0
0, 15:39:29,72,15,0.11,127,63407,0,0
0, 15:39:29,72,15,0.11,127,63407,0,0
0, 15:39:33,72,15,0.4,134,63407,0,0
0, 15:39:33,72,15,0.4,134,63407,0,0
0, 15:39:37,72,15,0.01,119,63407,0,0
0, 15:39:37,72,16,0.01,119,63407,0,0
0, 15:39:41,72,16,-0.19,122,63407,0,0
0, 15:39:41,72,16,-0.19,122,63407,0,0
0, 15:40:50,0,0,0.3,105,33,0,51.975124
7.575119, 15:40:55,0,0,0.4,100,33,0,51.975124
7.575119, 15:40:55,53,56,0.4,100,33,0,51.975131
7.57507, 15:41:0,0,0,0.4,97,32,0,51.975131
7.57507, 15:41:0,53,56,0.4,97,32,0,51.975151
7.575005, 15:41:5,0,0,0.59,96,32,0,51.975151
7.575005, 15:41:5,79,55,0.59,96,32,0,51.975151
7.575005, 15:41:10,0,0,0.59,94,32,0,51.975151
7.575005, 15:41:10,52,57,0.59,94,32,0,51.975151
7.575005, 15:41:15,0,0,0.4,91,31,0,51.975151
7.575005, 15:41:15,51,56,0.4,91,31,0,51.975151
7.575005, 15:41:20,0,0,0.3,88,31,0,51.975151
7.575005, 15:41:20,50,57,0.3,88,31,0,51.975151
7.575005, 15:41:25,0,0,0.5,82,31,0,51.975151
7.575005, 15:41:25,51,52,0.5,82,31,0,51.975151
7.575005, 15:41:30,0,0,0.3,80,31,0,51.975151
7.575005, 15:41:30,0,0,0.3,80,31,0,51.975051
7.575362, 15:41:35,0,0,0.3,78,30,0,51.975051
7.575362, 15:41:35,52,51,0.3,78,30,0,51.975051
7.575362, 15:41:40,0,0,0.3,79,30,0,51.975051
7.575362, 15:41:40,50,51,0.3,79,30,0,51.975051
7.575362, 15:41:45,0,0,0.4,78,30,0,51.975051
7.575362, 15:41:45,50,51,0.4,78,30,0,51.975051
7.575362, 15:41:50,0,0,0.01,77,30,0,51.975051
7.575362, 15:41:50,50,51,0.01,77,30,0,51.975051
7.575362, 15:41:55,0,0,0.11,76,29,0,51.975051
7.575362, 15:41:55,50,51,0.11,76,29,0,51.975051
7.575362, 15:42:0,0,0,0.01,75,29,0,51.975051
7.575362, 15:42:0,50,52,0.01,75,29,0,51.975051
7.575362, 15:42:27,0,0,0.3,81,28,0,51.975051
7.575362, 15:42:27,0,0,0.3,81,28,0,51.975051
7.575362, 15:42:32,0,0,0.11,80,27,0,51.975051
7.575362, 15:42:32,51,52,0.11,80,27,0,51.975051
7.575362, 15:42:37,0,0,0.2,80,27,0,51.975051
7.575362, 15:43:51,0,0,-0.09,94,24,0,51.975051
7.575362, 15:43:56,0,0,0.11,93,23,0,51.975051
7.575362, 15:43:56,0,0,0.11,93,23,0,51.975051
7.575362, 15:44:1,0,0,0.11,95,23,0,51.975051
7.575362, 15:44:1,0,0,0.11,95,23,0,51.975051
7.575362, 15:44:6,0,0,0.11,97,23,0,51.975051
7.575362, 15:44:6,0,0,0.11,97,23,0,51.975051
7.575362, 15:44:11,0,0,-0.19,100,22,0,51.975051
7.575362, 15:44:11,0,0,-0.19,100,22,0,51.975051
7.575362, 15:44:16,0,0,0.4,103,22,0,51.975051
7.575362, 15:44:16,0,0,0.4,103,22,0,51.975051
7.575362, 15:44:21,0,0,0.3,103,22,0,51.975051
7.575362, 15:44:21,0,0,0.3,103,22,0,51.975051
7.575362, 15:44:26,0,0,0.5,106,21,0,51.975051
7.575362, 15:44:26,0,0,0.5,106,21,0,51.975051
7.575362, 15:44:31,0,0,0.4,107,22,0,51.975051
7.575362, 15:44:31,0,0,0.4,107,22,0,51.975051
7.575362, 15:44:36,0,0,0.4,107,21,0,51.975051
7.575362, 15:44:36,0,0,0.4,107,21,0,51.975051
7.575362, 15:44:41,0,0,0.4,107,21,0,51.975051
7.575362, 15:44:41,0,0,0.4,107,21,0,51.975051
7.575362, 15:44:46,0,0,0.01,106,21,0,51.975051
7.575362, 15:44:46,0,0,0.01,106,21,0,51.975051
7.575362, 15:44:51,0,0,0.5,109,21,0,51.975051
7.575362, 15:44:51,0,0,0.5,109,21,0,51.975051
7.575362, 15:44:56,0,0,0.59,110,20,0,51.975051
