Longitude,Time,Humidity,Temperature,Windspeed,Soundvalue,Lux,Distance,Latitude
7.575642, 14:0:7,36,22,22.47,332,3243,41,51.975078
7.575642, 14:0:8,36,22,24.42,333,3243,41,51.975078
7.575642, 14:0:8,36,22,24.42,333,3241,0,51.975078
7.575642, 14:0:10,36,22,25.4,350,3241,42,51.975078
7.575642, 14:0:11,36,22,26.77,351,3241,41,51.975078
7.575642, 14:0:11,36,22,26.77,351,3241,2,51.975078
7.575642, 14:0:13,36,22,23.25,324,3242,41,51.975078
7.575642, 14:0:13,36,22,23.25,324,3242,2,51.975078
7.575642, 14:0:15,36,22,21.39,312,3246,41,51.975078
7.575642, 14:0:15,36,22,21.39,312,3246,2,51.975078
7.575642, 14:0:17,36,22,20.22,323,3249,41,51.975078
7.575642, 14:0:17,36,22,20.22,323,3249,2,51.975078
7.575642, 14:0:19,36,22,21.69,305,3251,41,51.975078
7.575642, 14:0:19,36,22,21.69,305,3251,2,51.975078
7.575642, 14:0:21,36,22,20.32,304,3252,41,51.975078
7.575642, 14:0:21,36,22,20.32,304,3252,2,51.975078
7.575642, 14:0:22,36,22,24.42,318,3255,41,51.975078
7.575642, 14:0:23,36,22,25.4,330,3255,41,51.975078
7.575642, 14:0:23,35,23,25.4,330,3247,2,51.975078
7.575642, 14:0:25,35,23,24.62,327,3243,40,51.975078
7.575642, 14:0:25,36,22,24.62,327,3243,0,51.975078
7.575642, 14:0:25,36,22,23.64,345,3241,41,51.975078
7.575642, 14:0:25,36,22,23.64,345,3241,2,51.975078
7.575642, 14:0:28,36,22,23.64,345,3241,41,51.975078
7.575642, 14:0:29,36,22,21.79,318,3241,41,51.975078
7.575642, 14:0:29,36,0,21.79,318,3242,2,51.975078
7.575642, 14:0:30,1,0,25.5,349,3242,41,51.975078
7.575642, 14:0:31,1,0,23.25,335,3246,41,51.975078
7.575642, 14:0:31,1,0,23.25,335,3246,2,51.975078
7.575642, 14:0:32,36,22,28.13,357,3249,41,51.975078
7.575642, 14:0:33,36,22,23.74,346,3249,41,51.975078
7.575642, 14:0:33,36,22,23.74,346,3251,2,51.975078
7.575642, 14:0:35,36,22,24.81,330,3251,41,51.975078
7.575642, 14:0:35,36,22,24.81,330,3252,2,51.975078
7.575642, 14:0:37,36,22,23.25,326,3252,41,51.975078
7.575642, 14:0:37,36,22,23.25,326,3255,15,51.975078
7.575642, 14:0:39,36,22,21.69,313,3255,41,51.975078
